date,temperature_2m,relative_humidity_2m,wind_speed_10m
2024-07-10 14:00:00+00:00,33.888889,32.0,4.5
2024-07-10 15:00:00+00:00,33.888889,36.0,2.7
2024-07-10 16:00:00+00:00,33.888889,38.0,3.1
2024-07-10 17:00:00+00:00,33.888889,38.0,3.6
2024-07-10 18:00:00+00:00,32.777778,41.0,4.0
2024-07-10 19:00:00+00:00,27.222222,58.0,0.9
2024-07-10 20:00:00+00:00,26.111111,61.0,0.4
2024-07-10 21:00:00+00:00,26.111111,65.0,0.9
2024-07-10 22:00:00+00:00,23.888889,73.0,1.3
2024-07-11 23:00:00+00:00,22.777778,78.0,0.9
2024-07-11 00:00:00+00:00,22.222222,83.0,0.9
2024-07-11 01:00:00+00:00,21.111111,88.0,0.4
2024-07-11 02:00:00+00:00,20.0,88.0,1.3
2024-07-11 03:00:00+00:00,21.111111,83.0,0.9
2024-07-11 04:00:00+00:00,21.111111,88.0,1.3
2024-07-11 05:00:00+00:00,21.111111,88.0,2.7
2024-07-11 06:00:00+00:00,22.777778,83.0,3.1
2024-07-11 07:00:00+00:00,25.0,74.0,1.3
2024-07-11 08:00:00+00:00,26.111111,69.0,3.6
2024-07-11 09:00:00+00:00,27.777778,58.0,3.1
2024-07-11 10:00:00+00:00,27.777778,58.0,4.0
2024-07-11 11:00:00+00:00,30.0,51.0,2.2
2024-07-11 12:00:00+00:00,28.888889,55.0,2.7
2024-07-11 13:00:00+00:00,28.888889,55.0,3.6
2024-07-11 14:00:00+00:00,22.222222,83.0,2.7
2024-07-11 15:00:00+00:00,20.0,94.0,2.2
2024-07-11 16:00:00+00:00,20.0,100.0,2.2
2024-07-11 17:00:00+00:00,22.222222,88.0,2.2
2024-07-11 18:00:00+00:00,22.777778,78.0,1.3
2024-07-11 19:00:00+00:00,22.777778,78.0,1.3
2024-07-11 20:00:00+00:00,22.222222,88.0,3.1
2024-07-11 21:00:00+00:00,21.111111,88.0,0.4
2024-07-11 22:00:00+00:00,20.0,94.0,1.3
2024-07-12 23:00:00+00:00,20.0,94.0,0.4
2024-07-12 00:00:00+00:00,18.888889,94.0,0.4
2024-07-12 01:00:00+00:00,18.888889,94.0,0.4
2024-07-12 02:00:00+00:00,17.777778,94.0,0.4
2024-07-12 03:00:00+00:00,17.777778,94.0,0.4
2024-07-12 04:00:00+00:00,17.777778,94.0,0.9
2024-07-12 05:00:00+00:00,18.888889,94.0,0.4
2024-07-12 06:00:00+00:00,20.0,94.0,1.3
2024-07-12 07:00:00+00:00,22.222222,83.0,1.3
2024-07-12 08:00:00+00:00,23.888889,73.0,2.2
2024-07-12 09:00:00+00:00,26.111111,65.0,2.2
2024-07-12 10:00:00+00:00,27.777778,62.0,2.7
2024-07-12 11:00:00+00:00,28.888889,55.0,3.6
2024-07-12 12:00:00+00:00,28.888889,51.0,4.5
2024-07-12 13:00:00+00:00,30.0,55.0,4.5
2024-07-12 14:00:00+00:00,30.0,51.0,4.5
2024-07-12 15:00:00+00:00,28.888889,58.0,4.0
2024-07-12 16:00:00+00:00,27.777778,66.0,2.7
2024-07-12 17:00:00+00:00,27.777778,66.0,3.1
2024-07-12 18:00:00+00:00,27.777778,66.0,3.6
2024-07-12 19:00:00+00:00,27.222222,65.0,2.7
2024-07-12 20:00:00+00:00,27.222222,65.0,1.3
2024-07-12 21:00:00+00:00,23.888889,83.0,0.9
2024-07-12 22:00:00+00:00,23.888889,83.0,5.4
2024-07-13 23:00:00+00:00,22.777778,69.0,8.9
2024-07-13 00:00:00+00:00,21.111111,88.0,4.5
2024-07-13 01:00:00+00:00,20.0,94.0,3.1
2024-07-13 02:00:00+00:00,20.0,94.0,1.3
2024-07-13 03:00:00+00:00,18.888889,100.0,0.9
2024-07-13 04:00:00+00:00,20.0,94.0,0.9
2024-07-13 05:00:00+00:00,20.0,94.0,2.2
2024-07-13 06:00:00+00:00,20.0,100.0,1.3
2024-07-13 07:00:00+00:00,22.222222,88.0,1.3
2024-07-13 08:00:00+00:00,22.777778,78.0,4.5
2024-07-13 09:00:00+00:00,23.888889,73.0,6.3
2024-07-13 10:00:00+00:00,22.777778,78.0,6.3
2024-07-13 11:00:00+00:00,25.0,69.0,6.3
2024-07-13 12:00:00+00:00,27.222222,61.0,4.0
2024-07-13 13:00:00+00:00,27.777778,54.0,4.5
2024-07-13 14:00:00+00:00,27.777778,54.0,6.7
2024-07-13 15:00:00+00:00,27.777778,54.0,5.8
2024-07-13 16:00:00+00:00,28.888889,48.0,5.4
2024-07-13 17:00:00+00:00,27.777778,51.0,2.7
2024-07-13 18:00:00+00:00,27.222222,58.0,2.2
2024-07-13 19:00:00+00:00,26.111111,61.0,2.7
2024-07-13 20:00:00+00:00,25.0,65.0,2.2
2024-07-13 21:00:00+00:00,23.888889,69.0,2.7
2024-07-13 22:00:00+00:00,22.777778,73.0,2.7
2024-07-14 23:00:00+00:00,22.222222,78.0,3.6
2024-07-14 00:00:00+00:00,21.111111,83.0,2.7
2024-07-14 01:00:00+00:00,21.111111,78.0,2.7
2024-07-14 02:00:00+00:00,20.0,83.0,3.1
2024-07-14 03:00:00+00:00,21.111111,78.0,5.4
2024-07-14 04:00:00+00:00,17.777778,94.0,3.1
2024-07-14 05:00:00+00:00,17.777778,88.0,5.4
2024-07-14 06:00:00+00:00,17.222222,88.0,2.7
2024-07-14 07:00:00+00:00,16.111111,94.0,2.2
2024-07-14 08:00:00+00:00,17.222222,88.0,2.2
2024-07-14 09:00:00+00:00,17.777778,88.0,2.2
2024-07-14 10:00:00+00:00,20.0,78.0,1.3
2024-07-14 11:00:00+00:00,21.111111,78.0,1.3
